GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
iot-backend,com.relay.iot.model,Reading,15,38,0,0,6,17,1,11,1,11
iot-backend,com.relay.iot.model,DeviceType,0,21,0,0,0,4,0,1,0,1
iot-backend,com.relay.iot.config,OpenApiConfig,42,0,0,0,14,0,2,0,2,0
iot-backend,com.relay.iot.dto,TokenResponse,26,0,0,0,12,0,6,0,6,0
iot-backend,com.relay.iot.dto,TokenRequest,26,0,0,0,12,0,6,0,6,0
iot-backend,com.relay.iot.dto,AggregateStats,23,33,0,0,12,12,6,6,6,6
iot-backend,com.relay.iot.service.processor,SensorProcessorFactory,47,0,4,0,11,0,5,0,3,0
iot-backend,com.relay.iot.service.processor,SensorDataProcessor,2,124,3,9,1,22,3,5,0,2
iot-backend,com.relay.iot.service.processor,ThermostatProcessor,0,32,0,6,0,9,0,9,0,6
iot-backend,com.relay.iot.service.processor,FuelMeterProcessor,32,0,6,0,9,0,9,0,6,0
iot-backend,com.relay.iot.service.processor,HeartRateProcessor,2,30,0,6,1,8,1,8,1,5
iot-backend,com.relay.iot.controller,AuthController,25,0,0,0,7,0,2,0,2,0
iot-backend,com.relay.iot.controller,DeviceTypeController,60,0,4,0,16,0,7,0,4,0
iot-backend,com.relay.iot.controller,ReadingController,0,90,0,0,0,23,0,8,0,8
iot-backend,com.relay.iot,IotBackendApplication,5,3,0,0,2,1,1,1,1,1
iot-backend,com.relay.iot.service,ReadingService,64,262,5,13,8,51,5,14,0,10
iot-backend,com.relay.iot.security,JwtTokenProvider,26,63,6,2,7,24,5,4,1,4
iot-backend,com.relay.iot.security,JwtAuthenticationFilter,64,0,8,0,17,0,7,0,3,0
iot-backend,com.relay.iot.security,SecurityConfig,83,0,0,0,16,0,4,0,4,0
